Melchior3000,"Il faut davantage de salsepareille dans cette soupe !"
Gaspard093,"Le parfum c'est important."
JMB,"Nous devons nous réunir pour l'école."
Nico12,Way la play sa déshire !
Paul40,ಠ_ಠ OUlalala ! Évidémment ça fonctionne en unicode ! ಠ_ಠ
Ankor1,Venez visiter notre beau pays !
TestMon,Test de service. Dzień dobry!
TestMon,Сервисное сообщение. Привет привет!
TestMon,Test de service. Bonjour !
TestMon,Test de service. Dzień dobry!
TestMon,Test de service. Nous reviendrons plus tard.
TestMon,Test de service. 🤗
TestMon,Сервисное сообщение. Привет привет!
